"NomBan","NomGen","Estrellas"
"Meshuggah","Avant-Garde","0"
"Meshuggah","Djent","0"
"Meshuggah","Extreme","0"
"Meshuggah","Progressive","0"
"Metallica","Speed","0"
"Metallica","Thrash.","0"
"Ministry","Industrial","0"
"Moonsorrow","Folk","0"
"Moonsorrow","Pagan","0"
"Moonsorrow","Viking","0"
"Moonspell","Black.","0"
"Moonspell","Extreme","0"
"Moonspell","Folk","0"
"Moonspell","Gothic","0"
"Morbid Angel","Death.","0"
"Morbid Angel","Extreme","0"
"Motionless in White","Gothic","0"
"Motionless in White","Metalcore","0"
"Mötley Crüe","FW-Glam","0"
"Mötley Crüe","Glam","0"
"Mötley Crüe","Heavy","0"
"Motörhead","Hard","0"
"Motörhead","Heavy","0"
"Motörhead","Speed","0"
"Mudvayne","Alternative","0"
"Mudvayne","Heavy","0"
"Mudvayne","Nu","0"
"Mushroomhead","Alternative","0"
"Mushroomhead","Industrial","0"
"My Dying Bride","Death.","0"
"My Dying Bride","Doom","0"
"My Dying Bride","Gothic","0"
"Napalm Death","Extreme","0"
"Napalm Death","Grindcore","0"
"Neurosis","Experimental","0"
"Neurosis","Extreme","0"
"Neurosis","Industrial","0"
"Neurosis","Post-Hardcore","0"
"Neurosis","Post-Metal","0"
"Neurosis","Sludge","0"
"Nevermore","Heavy","0"
"Nevermore","Progressive","0"
"Nevermore","Thrash.","0"
"Nightwish","Power","0"
"Nightwish","Symphonic","0"
"Nile","Death-Brutal","0"
"Nile","Death-Tech","0"
"Nile","Death.","0"
"Nile","Extreme","0"
"Nuclear Assault","Thrash-Crossover","0"
"Nuclear Assault","Thrash.","0"
"Obituary","Death.","0"
"Obituary","Extreme","0"
"Opeth","Black.","0"
"Opeth","Death.","0"
"Opeth","Extreme","0"
"Opeth","Progressive","0"
"Overkill","Speed","0"
"Overkill","Thrash.","0"
"Ozzy Osbourne","Hard","0"
"Ozzy Osbourne","Heavy","0"
"P.O.D.","Nu","0"
"P.O.D.","Rapcore","0"
"Pain","Industrial","0"
"Pantera","Groove","0"
"Pantera","Heavy","0"
"Pantera","Speed","0"
"Pantera","Thrash.","0"
"Papa Roach","Alternative","0"
"Papa Roach","Nu","0"
"Papa Roach","Rap","0"
"Paradise Lost","Death.","0"
"Paradise Lost","Doom","0"
"Paradise Lost","Gothic","0"
"Parkway Drive","Metalcore","0"
"Pentagram","Doom","0"
"Pentagram","Heavy","0"
"Periphery","Djent","0"
"Periphery","Metalcore","0"
"Periphery","Progressive","0"
"Pig Destroyer","Grindcore","0"
"Poison","Glam","0"
"Poison","Hard","0"
"Poison","SW-Glam","0"
"Possessed","Death.","0"
"Possessed","Extreme","0"
"Possessed","Thrash.","0"
"Powerwolf","Heavy","0"
"Powerwolf","Power","0"
"Primal Fear","Heavy","0"
"Primal Fear","Power","0"
"Primal Fear","SW-Power","0"
"Primordial","Black.","0"
"Primordial","Folk","0"
"Prong","Groove","0"
"Prong","Thrash-Crossover","0"
"Prong","Thrash.","0"
"Queensrÿche","Heavy","0"
"Queensrÿche","Progressive","0"
"Quiet Riot","FW-Glam","0"
"Quiet Riot","Glam","0"
"Quiet Riot","Hard","0"
"Quiet Riot","Heavy","0"
"Rage","Heavy","0"
"Rage","Power","0"
"Rage","Speed","0"
"Rage Against the Machine","Alternative","0"
"Rage Against the Machine","Funk","0"
"Rage Against the Machine","Hard","0"
"Rage Against the Machine","Rap","0"
"Rage Against the Machine","Thrash-Crossover","0"
"Rainbow","Heavy","0"
"Rammstein","Industrial","0"
