ID;ALIMENTO;C3;C4;C5;C6;C7;C8;C9;C10
01163;CHEESE FONDUE;229;61,61;14,23;13,47;3,77;;0;1,85
01164;CHEESE SAU,PREP FROM RECIPE;197;66,86;10,33;14,92;5,48;;0,1;2,41
01165;CHEESE,MEXICAN,QUESO ANEJO;373;38,06;21,44;29,98;4,63;4,630000114;0;5,89
01166;CHEESE,MEXICAN,QUESO ASADERO;356;42,16;22,6;28,26;2,87;2,869999886;0;4,11
01167;CHEESE,MEXICAN,QUESO CHIHUAHUA;374;39,13;21,56;29,68;5,56;5,559999943;0;4,06
01168;CHEESE,LOFAT,CHEDDAR OR COLBY;173;63,1;24,35;7;1,91;0,519999981;0;3,64
01169;CHEESE,LOW-SODIUM,CHEDDAR OR COLBY;398;38,98;24,35;32,62;1,91;0,49000001;0;2,13
01171;EGG,WHOLE,RAW,FROZEN;148;75,85;11,95;10,2;1,05;;0;0,95
01172;EGG,WHITE,RAW,FROZEN;47;88,55;9,8;0;1,05;;0;0,6
01173;EGG,WHITE,DRIED;382;5,8;81,1;0;7,8;5,400000095;0;5,3
01178;SOUR CREAM,REDUCED FAT;181;71;7;14,1;7;0,300000012;0;0,9
01179;SOUR CREAM,LIGHT;136;78,1;3,5;10,6;7,1;0,219999999;0;0,7
01180;SOUR CREAM,FAT FREE;74;80,6;3,1;0;15,6;0,389999986;0;0,7
01182;USDA COMMODITY,CHS,CHEDDAR,RED FAT;282;48,2;27,2;18,3;2;0,579999983;0;4,3
01184;YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR;43;87,43;3,86;0,18;7,5;7,5;0;1
01185;PARMESAN CHS TOPPING,FAT FREE;370;8,6;40;5;40;1,5;0;6,4
01186;CHEESE,CREAM,FAT FREE;96;75,53;14,41;1,36;5,8;0,400000006;0;2,57
01187;YOGURT,CHOC,NONFAT MILK;112;71,57;3,53;0;23,53;14,97000027;1,2;1,37
01188;KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU;276;51,5;12;21;9,2;6,699999809;0,3;5,8
01189;KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT;215;51,5;16,3;9,5;16,2;8,199999809;0,2;6,4
01190;KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT;148;58;22,7;1;11,7;6,699999809;0,2;6,1
01191;KRAFT VELVEETA PAST PROCESS CHS SPRD;303;45,8;16,3;22;9,8;8,100000381;0;6
01192;KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT;222;51,3;19,6;10,6;11,8;8,5;0;6,6
01193;KRAFT BREAKSTONE'S RED FAT SOUR CRM;152;76,2;4,5;12;6,5;6,400000095;0,1;0,8
01194;KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM;91;77,7;4,7;1,3;15,1;7,199999809;0;1,2
01195;KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT);96;76,5;3,8;0,8;18,2;17,39999962;0,2;0,7
01196;KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT);108;73,3;3,2;0,8;21,9;19,60000038;0,2;0,6
01197;KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT);102;74,8;3,8;0,9;19,9;17,20000076;0,3;0,7
01198;KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T);55;86;3,4;0,2;9,9;7,699999809;0;0,6
01199;CREAM,HALF & HALF,FAT FREE;59;86;2,6;1,4;9;5;0;1
01200;REDDI WIP FAT FREE WHIPPED TOPPING;149;66,44;3;5;25;16;0,4;0,56
01202;MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA;78;82,17;2,99;1,9;12,13;9,550000191;0,7;0,81
01203;YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER;105;74,1;4,86;1,41;18,6;2,900000095;0;1,03
02001;ALLSPICE,GROUND;263;8,46;6,09;8,69;72,12;;21,6;4,65
02002;ANISE SEED;337;9,54;17,6;15,9;50,02;;14,6;6,95
02003;SPICES,BASIL,DRIED;251;6,43;14,37;3,98;60,96;1,710000038;40,5;14,27
02004;SPICES,BAY LEAF;313;5,44;7,61;8,36;74,97;;26,3;3,62
02005;CARAWAY SEED;333;9,87;19,77;14,59;49,9;0,639999986;38;5,87
02006;SPICES,CARDAMOM;311;8,28;10,76;6,7;68,47;;28;5,78
02007;CELERY SEED;392;6,04;18,07;25,27;41,35;0,670000017;11,8;9,27
02008;CHERVIL,DRIED;237;7,2;23,2;3,9;49,1;;11,3;16,6
02009;CHILI POWDER;314;7,79;12,26;16,76;54,66;7,190000057;34,2;8,53
02010;CINNAMON,GROUND;261;9,52;3,89;3,19;79,85;2,170000076;54,3;3,55
02011;CLOVES,GROUND;323;6,86;5,98;20,07;61,21;2,380000114;34,2;5,88
02012;CORIANDER LEAF,DRIED;279;7,3;21,93;4,78;52,1;7,269999981;10,4;14,08
02013;CORIANDER SEED;298;8,86;12,37;17,77;54,99;;41,9;6,02
02014;CUMIN SEED;375;8,06;17,81;22,27;44,24;2,25;10,5;7,62
02015;CURRY POWDER;325;9,52;12,66;13,81;58,15;2,75999999;33,2;5,57
02016;DILL SEED;305;7,7;15,98;14,54;55,17;;21,1;6,62
02017;DILL WEED,DRIED;253;7,3;19,96;4,36;55,82;;13,6;12,56
02018;FENNEL SEED;345;8,81;15,8;14,87;52,29;;39,8;8,22
02019;FENUGREEK SEED;323;8,84;23;6,41;58,35;;24,6;3,4
02020;GARLIC POWDER;332;6,45;16,8;0,76;72,71;24,29999924;9,9;3,29
02021;GINGER,GROUND;347;9,38;9,12;5,95;70,79;3,390000105;12,5;4,77
02022;MACE,GROUND;475;8,17;6,71;32,38;50,5;;20,2;2,23
02023;MARJORAM,DRIED;271;7,64;12,66;7,04;60,56;4,090000153;40,3;12,1
02024;MUSTARD SEED,YELLOW;469;6,86;24,94;28,76;34,94;6,789999962;14,7;4,51
02025;NUTMEG,GROUND;525;6,23;5,84;36,31;49,29;28,48999977;20,8;2,34
02026;ONION POWDER;347;5,01;10,12;1,05;80,67;35,47999954;5,7;3,15
02027;SPICES,OREGANO,DRIED;306;7,16;11;10,25;64,43;4,090000153;42,8;7,15
02028;PAPRIKA;289;9,54;14,76;12,95;55,74;10,34000015;37,4;7,02
02029;PARSLEY,DRIED;276;9,02;22,42;4,43;51,66;7,269999981;30,4;12,47
